Rk,Team,Overall,PlaceHome,PlaceVisitor,ConferenceE,ConferenceW,DivisionA,DivisionC,DivisionSE,DivisionNW,DivisionP,DivisionSW,All-StarPre,All-StarPost,Margin<=3,Margin>=10,MonthDec,MonthJan,MonthFeb,MonthMar,MonthApr,MonthMay,,
1,Milwaukee Bucks,56,30,26,37,19,10,13,14,7,7,5,46,10,3,38,2,15,13,11,10,2,1,2
2,Toronto Raptors,53,26,27,34,19,9,13,12,7,7,5,40,13,6,23,4,10,9,12,7,4,,1
3,Los Angeles Lakers,52,25,27,16,36,5,4,7,12,10,14,41,11,7,25,3,14,9,10,9,4,1,2
4,Los Angeles Clippers,49,27,22,17,32,5,4,8,11,8,13,37,12,8,32,4,10,10,9,7,4,0,5
5,Boston Celtics,48,26,22,30,18,9,9,12,6,6,6,38,10,6,29,3,10,10,9,9,2,0,5
6,Denver Nuggets,46,26,20,17,29,6,4,7,12,9,8,38,8,9,16,3,10,10,11,6,3,,5
7,Indiana Pacers,45,25,20,28,17,9,8,11,7,5,5,32,13,5,20,1,11,10,9,5,3,,2
8,Houston Rockets,44,24,20,16,28,6,4,6,10,10,8,34,10,4,22,3,10,10,7,9,1,1,3
9,Miami Heat,44,29,15,30,14,9,11,10,4,4,6,35,9,6,23,4,9,11,8,6,3,,5
10,Oklahoma City Thunder,44,23,21,17,27,5,6,6,8,9,10,33,11,8,18,1,6,11,12,7,3,,4
11,Utah Jazz,44,23,21,20,24,6,6,8,5,9,10,36,8,7,18,4,8,9,11,5,4,1,2
12,Dallas Mavericks,43,20,23,16,27,4,7,5,9,8,10,33,10,2,23,3,9,9,8,7,4,0,3
13,Philadelphia 76ers,43,31,12,28,15,11,10,7,5,5,5,34,9,6,19,4,10,9,8,6,2,,4
14,Brooklyn Nets,35,20,15,23,12,6,8,9,2,6,4,25,10,7,17,1,9,6,5,5,4,0,5
15,Portland Trail Blazers,35,21,14,15,20,4,4,7,5,7,8,25,10,9,17,3,5,6,8,4,3,1,5
16,Memphis Grizzlies,34,20,14,14,20,3,4,7,8,8,4,28,6,3,18,1,4,8,11,5,3,0,2
17,Phoenix Suns,34,17,17,15,19,6,3,6,6,6,7,22,12,4,15,3,5,5,7,4,2,1,7
18,Orlando Magic,33,18,15,20,13,6,5,9,2,5,6,24,9,5,18,2,5,7,7,6,3,1,2
19,San Antonio Spurs,32,19,13,12,20,5,2,5,6,7,7,23,9,10,10,3,4,7,7,4,2,1,4
20,Sacramento Kings,31,16,15,8,23,2,2,4,7,8,8,21,10,6,12,0,8,4,6,7,3,0,3
21,New Orleans Pelicans,30,15,15,12,18,2,7,3,9,5,4,23,7,2,18,1,5,5,9,6,2,0,2
22,Washington Wizards,25,16,9,18,7,8,5,5,3,2,2,20,5,1,12,1,5,4,6,5,3,0,1
23,Charlotte Hornets,23,10,13,16,7,5,9,2,1,4,2,18,5,9,5,2,6,5,3,5,2,,
24,Chicago Bulls,22,14,8,15,7,1,7,7,1,2,4,19,3,6,7,1,5,7,6,1,2,,
25,New York Knicks,21,11,10,15,6,2,8,5,1,2,3,17,4,7,8,1,3,5,4,5,3,,
26,Atlanta Hawks,20,14,6,11,9,3,2,6,3,3,3,15,5,1,8,2,2,3,6,6,1,,
27,Detroit Pistons,20,11,9,12,8,3,5,4,1,4,3,19,1,4,9,2,4,6,5,3,0,,
28,Cleveland Cavaliers,19,11,8,12,7,2,4,6,4,0,3,14,5,5,6,2,3,5,3,4,2,,
29,Minnesota Timberwolves,19,8,11,10,9,2,3,5,2,4,3,16,3,3,10,3,7,2,3,2,2,,
30,Golden State Warriors,15,8,7,6,9,1,3,2,3,2,4,12,3,1,8,1,3,5,1,3,2,,
