Rk,Team,Overall,Home,Road
1,Utah Jazz,52,31,21
2,Phoenix Suns,51,27,24
3,Philadelphia 76ers,49,29,20
4,Brooklyn Nets,48,28,20
5,Denver Nuggets,47,25,22
6,Los Angeles Clippers,47,26,21
7,Milwaukee Bucks,46,26,20
8,Dallas Mavericks,42,21,21
9,Los Angeles Lakers,42,21,21
10,Portland Trail Blazers,42,20,22
11,Atlanta Hawks,41,25,16
12,New York Knicks,41,25,16
13,Miami Heat,40,21,19
14,Golden State Warriors,39,25,14
15,Memphis Grizzlies,38,18,20
16,Boston Celtics,36,21,15
17,Washington Wizards,34,19,15
18,Indiana Pacers,34,13,21
19,Charlotte Hornets,33,18,15
20,San Antonio Spurs,33,14,19
21,Chicago Bulls,31,15,16
22,New Orleans Pelicans,31,18,13
23,Sacramento Kings,31,16,15
24,Toronto Raptors,27,16,11
25,Minnesota Timberwolves,23,13,10
26,Cleveland Cavaliers,22,13,9
27,Oklahoma City Thunder,22,10,12
28,Orlando Magic,21,11,10
29,Detroit Pistons,20,13,7
30,Houston Rockets,17,9,8
