Rk,Team,Overall,PlaceHome,PlaceVisitor,ConferenceE,ConferenceW,DivisionA,DivisionC,DivisionSE,DivisionNW,DivisionP,DivisionSW,All-StarPre,All-StarPost,Margin<=3,Margin>=10,MonthDec,MonthJan,MonthFeb,MonthMar,MonthApr,MonthMay
1,Utah Jazz,52,31,21,24,28,7,10,7,7,8,13,27,25,3,39,2,13,12,9,9,7
2,Phoenix Suns,51,27,24,21,30,7,8,6,11,7,12,24,27,9,23,4,6,12,11,12,6
3,Philadelphia 76ers,49,29,20,31,18,10,8,13,5,6,7,24,25,7,27,4,11,7,10,10,7
4,Brooklyn Nets,48,28,20,26,22,8,9,9,7,9,6,24,24,3,24,3,10,9,11,10,5
5,Denver Nuggets,47,25,22,21,26,5,9,7,9,6,11,21,26,6,29,1,11,6,11,13,5
6,Los Angeles Clippers,47,26,21,20,27,4,9,7,10,9,8,24,23,3,31,4,12,8,8,11,4
7,Milwaukee Bucks,46,26,20,30,16,8,11,11,6,5,5,22,24,6,29,2,9,10,9,9,7
8,Dallas Mavericks,42,21,21,21,21,6,6,9,8,6,7,18,24,5,26,1,7,8,9,10,7
9,Los Angeles Lakers,42,21,21,17,25,4,8,5,10,4,11,24,18,7,22,3,12,9,6,6,6
10,Portland Trail Blazers,42,20,22,19,23,7,6,6,6,7,10,21,21,10,19,2,8,8,11,6,7
11,Atlanta Hawks,41,25,16,24,17,7,8,9,5,6,6,16,25,3,25,3,7,4,9,11,7
12,New York Knicks,41,25,16,25,16,4,11,10,4,4,8,19,22,2,24,2,7,9,6,11,6
13,Miami Heat,40,21,19,24,16,9,9,6,5,5,6,18,22,4,17,2,5,10,7,9,7
14,Golden State Warriors,39,25,14,14,25,3,8,3,10,5,10,19,20,6,25,2,9,8,4,8,8
15,Memphis Grizzlies,38,18,20,19,19,6,5,8,7,6,6,16,22,3,23,1,7,7,7,10,6
16,Boston Celtics,36,21,15,20,16,4,7,9,6,6,4,19,17,7,17,3,7,7,6,11,2
17,Washington Wizards,34,19,15,16,18,4,9,3,9,7,2,14,20,11,14,0,4,9,4,12,5
18,Indiana Pacers,34,13,21,20,14,5,7,8,5,2,7,16,18,5,15,4,7,4,6,8,5
19,Charlotte Hornets,33,18,15,20,13,4,8,8,4,4,5,17,16,9,14,2,7,7,8,6,3
20,San Antonio Spurs,33,14,19,16,17,3,7,6,5,6,6,18,15,7,18,2,9,6,7,7,2
21,Chicago Bulls,31,15,16,21,10,7,7,7,3,1,6,16,15,3,16,2,5,8,4,7,5
22,New Orleans Pelicans,31,18,13,13,18,5,5,3,5,7,6,15,16,3,13,3,4,7,7,7,3
23,Sacramento Kings,31,16,15,13,18,4,6,3,7,5,6,14,17,10,12,3,5,5,9,4,5
24,Toronto Raptors,27,16,11,17,10,4,5,8,3,3,4,17,10,3,17,1,7,9,1,8,1
25,Minnesota Timberwolves,23,13,10,8,15,2,4,2,5,4,6,7,16,4,9,2,3,2,5,8,3
26,Cleveland Cavaliers,22,13,9,16,6,8,4,4,2,0,4,14,8,4,11,3,6,4,4,4,1
27,Oklahoma City Thunder,22,10,12,10,12,4,3,3,3,2,7,15,7,7,5,1,7,6,6,1,1
28,Orlando Magic,21,11,10,13,8,2,7,4,2,4,2,13,8,3,6,4,4,5,3,3,2
29,Detroit Pistons,20,13,7,12,8,7,1,4,2,3,3,10,10,1,14,0,5,4,4,6,1
30,Houston Rockets,17,9,8,6,11,1,2,3,3,3,5,11,6,3,8,1,8,2,2,3,1
